time	distance
0.04200000000	0.1173564
0.05190850000	0.142522487375975
0.10262264000	0.25626402942120896
0.11170000000	0.27396323899999997
0.15592000000	0.34863587264
0.17383923000	0.3734393083537348
0.20942940000	0.41337089943663596
0.21342619000	0.4170799509682111
0.21385894000	0.4174721535321744
0.27000000000	0.45278999999999997
0.28075000000	0.45602924374999987
0.29584013000	0.4586656156597571
0.34648150000	0.45120229377297505
0.35000000000	0.44974999999999987
0.36807889000	0.44037453060820264
0.37298500000	0.4372777298975
0.39325246000	0.42198464324934704
0.50620017000	0.2630313106706583
0.52800000000	0.21795839999999989
0.53012000000	0.21332664943999968
0.57681501876	0.10013878353121397
0.57982969000	0.09209696991306915
